card_1,,card_2,,card_3,,card_4,,card_5,,card_6,,card_7,,card_8,,card_9,,card_10,,card_11,,card_12,,card_13,,card_14,,card_15,,card_16,,card_17,,card_18,,card_19,,card_20,
name,Lucky Charm,name,Strike,name,Focused Strike,name,Advanced Guard,name,Naga Red Eye Gem,name,Guard,name,Second Wind,name,Bite,name,Skitter,name,Lethargy,name,Poison,name,Wound,name,Inner Strength,name,Pact of Maggots,name,Fireball,name,Health Potion,name,Serpent's Scale,name,Crushing Blow,name,Call of the Deep,name,Eldritch Oath
discard_cost,1,discard_cost,0,discard_cost,1,discard_cost,1,discard_cost,2,discard_cost,1,discard_cost,2,discard_cost,0,discard_cost,0,discard_cost,0,discard_cost,0,discard_cost,0,discard_cost,1,discard_cost,1,discard_cost,3,discard_cost,0,discard_cost,0,discard_cost,0,discard_cost,1,discard_cost,1
burn_cost,1,burn_cost,0,burn_cost,0,burn_cost,1,burn_cost,2,burn_cost,0,burn_cost,2,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,3,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,0,burn_cost,0
flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none ,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none,flavour_text,none
attack,0,attack,1,attack,2,attack,0,attack,2,attack,0,attack,2,attack,1,attack,1,attack,0,attack,0,attack,0,attack,3,attack,2,attack,6,attack,0,attack,0,attack,3,attack,1,attack,2
defense,1,defense,0,defense,0,defense,2,defense,2,defense,2,defense,2,defense,1,defense,1,defense,1,defense,0,defense,0,defense,2,defense,1,defense,0,defense,0,defense,3,defense,0,defense,1,defense,1
sigil_num,0,sigil_num,0,sigil_num,1,sigil_num,1,sigil_num,1,sigil_num,0,sigil_num,1,sigil_num,1,sigil_num,2,sigil_num,0,sigil_num,10,sigil_num,0,sigil_num,1,sigil_num,1,sigil_num,1,sigil_num,1,sigil_num,2,sigil_num,1,sigil_num,0,sigil_num,1
kindling,0,kindling,2,kindling,0,kindling,0,kindling,0,kindling,4,kindling,0,kindling,2,kindling,1,kindling,1,kindling,0,kindling,0,kindling,0,kindling,0,kindling,0,kindling,0,kindling,2,kindling,3,kindling,1,kindling,0
discard_effect,Draw 2 random cards from your deck,discard_effect,none,discard_effect,none,discard_effect,Draw 1 card or gain +2 def to this card until it goes to the discard,discard_effect,Add the attack and defence values as well as the discard and burn costs of one card that you discarded this turn to this cards attack,discard_effect,none,discard_effect,none,discard_effect,add one poison to opponent's deck,discard_effect,draw one card,discard_effect,none,discard_effect,none,discard_effect,none,discard_effect,Gain 2x Inner Strength,discard_effect,Undying: at the end of a turn shuffle your burn pile and draw one card from it.,discard_effect,none,discard_effect,Recover 5 burnt cards. This card is burnt immediately after use,discard_effect,If this card blocks its full shield count give the player two wound cards,discard_effect,"If the player's defense is higher than the sttack total, burn 1 random defense card in play",discard_effect,Draw one card.,discard_effect,Each time card is played gain +3 attack and +2 defense
burn_effect,Draw one card of your choice from your deck,burn_effect,none,burn_effect,+3 attack to this card,burn_effect,Draw  4 cards,burn_effect,Regain a sigil card from the burnt pile,burn_effect,none,burn_effect,Regain a sigil card from the burnt pile,burn_effect,none,burn_effect,none,burn_effect,none,burn_effect,none,burn_effect,none,burn_effect,none,burn_effect,none,burn_effect,Burn the top two cards of your opponents deck,burn_effect,none,burn_effect,none,burn_effect,none,burn_effect,Regain a sigil card and 1 other card from the burn pile,burn_effect,none
imageid,lucky_charm,imageid,strike,imageid,focused,imageid,advanced_guard,imageid,naga_red_eye_gem,imageid,guard,imageid,second_wind,imageid,bite,imageid,skitter,imageid,lethargy,imageid,poison,imageid,wound,imageid,inner_strength,imageid,pact_of_maggots,imageid,fireball,imageid,health_potion,imageid,sepents_scale,imageid,crushing_blow,imageid,call_of_the_deep,imageid,eldritch_oath
num_in_deck,0,num_in_deck,5,num_in_deck,1,num_in_deck,1,num_in_deck,1,num_in_deck,5,num_in_deck,0,num_in_deck,8,num_in_deck,3,num_in_deck,4,num_in_deck,20,num_in_deck,0,num_in_deck,0,num_in_deck,0,num_in_deck,0,num_in_deck,0,num_in_deck,8,num_in_deck,10,num_in_deck,3,num_in_deck,3
type,player,type,player_starting,type,player_starting,type,player_starting,type,player_starting,type,player_starting,type,player,type,spider,type,spider,type,spider,type,status,type,status,type,player,type,player,type,player,type,player,type,naga,type,naga,type,naga,type,naga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
